"","Date","f_6m","f_12m","f_18m","f_24m","f_30m","f_36m","f_42m","f_48","f_54m","f_60m","f_66m","f_72m","f_78m","f_84m","f_90m","f_96m","f_102m","f_108m","f_114m","f_120m"
"1",2015-01-02,0.26004745410323,0.696503363848403,1.17477103730757,1.60053147920549,1.94289000226522,2.20095397983313,2.38621443385382,2.51370123883384,2.59788904867581,2.65108646357257,2.68305527820133,2.70118545625077,2.71087654671471,2.71595505632369,2.71905286916476,2.72192081845648,2.72567504833803,2.73098381307025,2.73820551076642,2.74748866545485
"2",2015-01-05,0.271760730957081,0.690748468323323,1.15916862988648,1.57079196715274,1.89425109101372,2.13143617984801,2.29667249575895,2.40690755029405,2.47755596737942,2.52112423284364,2.54710549842132,2.56237932517289,2.57174852828322,2.5784514397308,2.58459069942165,2.59146782707766,2.59983296084243,2.6100655789039,2.62230223620746,2.6365251326654
"3",2015-01-06,0.268873472475584,0.68472016484376,1.12171576419904,1.50319010601862,1.80645256741566,2.03362966138513,2.19655412900402,2.30935267758852,2.38513777378402,2.43480264432773,2.46682953357259,2.48753485509828,2.50145944382255,2.51176617571456,2.5205879738316,2.52930955055054,2.53878483002357,2.54949930520517,2.56168834367203,2.57542172681795
"4",2015-01-07,0.254911521122438,0.651651466943961,1.08722969210273,1.4722487268402,1.77958639891074,2.01032195740784,2.17639934623919,2.29229260619966,2.37137596967755,2.42465207862025,2.46058615007465,2.48539897723088,2.50349993702846,2.51791483062524,2.53065199876706,2.54299295264183,2.55571255720567,2.56924052705139,2.58377702231871,2.59937376884371
"5",2015-01-08,0.204082590173052,0.618631312511273,1.08800020796093,1.50130766468656,1.82742328679025,2.06930955751187,2.2419233328493,2.36222087367141,2.4451714883411,2.50260342389717,2.54327267471019,2.57337197318476,2.59712307781027,2.6173077372158,2.63569339475244,2.65335366354883,2.67089984286991,2.68864324272795,2.70670633138276,2.7250972974813
"6",2015-01-09,0.198957132580545,0.612418304610295,1.05901900079976,1.44843307854387,1.75678127488184,1.98839465980055,2.15729858153853,2.27885816432853,2.36647898307244,2.4306916778916,2.47926268066876,2.51766906758985,2.54963551482162,2.57761141866354,2.6031519126975,2.62720397054228,2.65031256933099,2.67276475271059,2.6946877854176,2.71611451118133
"7",2015-01-12,0.169733803380781,0.560867921511436,1.00202064464767,1.38616345838728,1.68713179410707,1.91094791765303,2.07353099991676,2.1913288922539,2.27801380200643,2.34383672048902,2.39600951094835,2.43937511751745,2.4770608707544,2.51101226684336,2.54239219644185,2.57186352622763,2.59978131063674,2.62631934274931,2.65155099706959,2.67549925897021
"8",2015-01-13,0.156900241255138,0.51981620116017,0.962473703800721,1.35220499331366,1.6568995917609,1.88280186297693,2.04720067127189,2.16753592481899,2.25786567065681,2.3283807905085,2.38599776869705,2.43518819713404,2.47872721169349,2.51827263599372,2.55477785423217,2.5887706558796,2.62053385238342,2.65021797341632,2.67790890905556,2.70366665833083
"9",2015-01-14,0.152666708556971,0.474796828316068,0.8900792056907,1.27216082639909,1.58228055157725,1.81910348184642,1.9947194125324,2.12389654988573,2.21982177635554,2.29285280808719,2.35054971594715,2.3981578044567,2.43917200770554,2.4758370774139,2.50954181066815,2.54110963699431,2.57100333640837,2.59946433654719,2.62660468846245,2.65246604244103
"10",2015-01-15,0.136286784835519,0.414539332502161,0.77753199909811,1.12799138206901,1.42867486812669,1.67154692112752,1.86140223858217,2.00752380371962,2.11970889214447,2.20659557794897,2.27514528308011,2.33066321965585,2.37703419888494,2.4170141140434,2.45250475270433,2.48478470837283,2.51469113663895,2.54275675441109,2.56930984013854,2.59454534216962
"11",2015-01-16,0.150674198729667,0.438463323303579,0.842133269720225,1.22451261821794,1.54011114837107,1.78378346345602,1.9656976297419,2.09982883796436,2.19919157718783,2.27427611717402,2.33289671040064,2.38057591302921,2.42106154544224,2.45680846742783,2.48936969724029,2.51969111216118,2.54832300272032,2.57556659935176,2.60157259511378,2.62640559523717
"12",2015-01-20,0.160800239336085,0.481363327931068,0.899944060899181,1.28055337083507,1.58429056507259,1.81200301335457,1.97780553504502,2.09774257516577,2.18559504707639,2.25185787957557,2.30397884260943,2.34698629802922,2.38413962219813,2.41747284461494,2.44820565307525,2.4770359570688,2.50433951410938,2.5303016140769,2.55500132664936,2.57846372752492
"13",2015-01-21,0.172060077440351,0.515157488411258,0.932883322901133,1.31521974531658,1.62688913888394,1.86590957614855,2.04301443798429,2.17200957518926,2.26569298597852,2.33448007846322,2.38625336247391,2.42669523730591,2.45975218786181,2.4880781587715,2.51340284302415,2.53681568764582,2.55897480140499,2.58025551865971,2.60085327385492,2.62085321483131
"14",2015-01-22,0.14951531965229,0.516660641423157,0.96866923866051,1.3717534331127,1.68919733134356,1.92387042810817,2.09164794774492,2.21003409301487,2.29397421658447,2.35486279281512,2.40082310759225,2.43737713230173,2.46813446265401,2.49536884295866,2.52045605260435,2.54418780923131,2.5669879963501,2.58905707977169,2.61046601969666,2.63121577608852
"15",2015-01-23,0.137495377597409,0.478365540371292,0.917844370081982,1.31124929028753,1.61921051507525,1.84463328905424,2.00398922123326,2.11525261295371,2.19358126549562,2.25037276042249,2.29362615377981,2.32867977378153,2.35894476436705,2.38650650308587,2.41257391863968,2.43779677332962,2.46248101993783,2.48673046463635,2.51053737678919,2.5338388148277
"16",2015-01-26,0.14837093629754,0.519833068472722,0.963251971350013,1.35124488687857,1.65201668888265,1.87136845108589,2.0265405381088,2.13540029362717,2.21270930052518,2.26943488090349,2.3132080158172,2.34908530487376,2.38027713926208,2.40873409031754,2.43558015310177,2.4614161370835,2.4865241094605,2.51100092966642,2.53484300441529,2.55799849105394
"17",2015-01-27,0.139091081675214,0.486951787914553,0.932790973523618,1.32569595607721,1.62903702628107,1.84931226159122,2.00527861212692,2.11580489252794,2.19600741523545,2.25676190008731,2.30538332330519,2.34654636021138,2.38310445484938,2.4167176231349,2.44829680744255,2.47830240343981,2.50693699057344,2.53426547062085,2.5602873181619,2.58497821505836
"18",2015-01-28,0.125513341199921,0.453234712713449,0.866843416023444,1.23150722630958,1.51501741280087,1.72364161941254,1.87440491063177,1.98425586183135,2.06667385478114,2.13128998259289,2.18453594248545,2.23049205529308,2.27163239910328,2.30939070665964,2.3445572732199,2.37754282757938,2.40854666973455,2.43765967752782,2.46492477620103,2.4903705577678
"19",2015-01-29,0.0990254840498632,0.479966461048557,0.924759674160903,1.2989438888342,1.58021463938917,1.78301992157941,1.92893013935015,2.03661235527818,2.11962454204055,2.1869384038095,2.24413031196123,2.29450045225275,2.33992202784308,2.38142209515085,2.41955323850084,2.45461926341422,2.48680559201772,2.51625042171273,2.5430805969804,2.56742736354742
"20",2015-01-30,0.136157601183789,0.435944351038766,0.814922939540343,1.15137719881315,1.41818991751265,1.62177614606537,1.77693882592119,1.89767994550746,1.9946842933394,2.07531293358806,2.14433932117139,2.20474522497801,2.25836040974948,2.30631494086995,2.34933493875539,2.38792475348039,2.42247314549982,2.45331149665508,2.48074323373244,2.50505686095266
"21",2015-02-02,0.13397910716634,0.448338234385487,0.832119093210415,1.1648752731866,1.42509044589964,1.62310227004807,1.77536180289428,1.89599951517311,1.99510015653094,2.079219260985,2.1523907443157,2.21702811520304,2.27457874015413,2.32595000328892,2.37176638858961,2.41251420145552,2.44861691402609,2.48047027415074,2.5084555800851,2.53294210874935
"22",2015-02-03,0.15447514389365,0.4911566326559,0.902692991502483,1.26325913341832,1.54541637898706,1.75701872986009,1.91484222929984,2.03476822595297,2.12901077894725,2.20605550067467,2.2714352519304,2.32859920394979,2.37962866657991,2.42575544410231,2.46770965989102,2.5059404848587,2.54074951365084,2.57236733678626,2.60099479505766,2.62682319623151
"23",2015-02-04,0.158820985792825,0.504607691513677,0.916117764422511,1.27760362672078,1.56183659866878,1.77511646157244,1.93319446351729,2.05172766968115,2.14323381044218,2.21672426930146,2.27827265355311,2.33177743578005,2.37964115505052,2.42329156901206,2.46355025112899,2.5008792783286,2.53553917470737,2.56768591748468,2.59742785717297,2.62485721072004
"24",2015-02-05,0.184409800483294,0.531222696410975,0.930276910271165,1.28385740064469,1.56687761999661,1.78338434242163,1.94657417671469,2.07035461153298,2.16633825382278,2.24322748072541,2.30712792140882,2.36212608724024,2.41085597688262,2.45496146721999,2.49544032978668,2.53288555493328,2.56764734268475,2.59993778122222,2.62989598450903,2.65762691864116
"25",2015-02-06,0.251565174867022,0.677945606029595,1.13668793180657,1.52060058137581,1.80938092021853,2.0148888274764,2.15724190861698,2.25543540122397,2.32446588654733,2.37512713651445,2.4147259545699,2.44797123176396,2.47775746916209,2.50576951425204,2.53291664492814,2.5596296773881,2.5860571798254,2.61219116227278,2.6379452322311,2.6632015979544
"26",2015-02-09,0.225705419156626,0.672107437957489,1.15147159722484,1.54660763775727,1.83810760256559,2.04110111308937,2.17856660614177,2.27136478730938,2.33549505666943,2.38217405264296,2.4187967604096,2.44999389168584,2.47851645317987,2.50589457313261,2.53289672120656,2.55983575816689,2.58676593105928,2.61360581672494,2.64021265622051,2.66642562837764
"27",2015-02-10,0.220897759530947,0.682552878845659,1.17705270666238,1.58243618527267,1.87988601795627,2.08619344959003,2.22572290485378,2.32019608592951,2.38604162881061,2.43462755991518,2.47334891460083,2.5067688306326,2.53755147809706,2.56714537968686,2.59625282189668,2.62513835186368,2.65382450194426,2.68221201245343,2.71015116368032,2.73748229881022
"28",2015-02-11,0.225679796383527,0.704652228202387,1.19606848643278,1.59631520253213,1.89088568356758,2.09640569568922,2.23615033414452,2.33093891978978,2.39669024906891,2.44458068946588,2.48200945537302,2.51364084895073,2.54227358318501,2.56948905937243,2.59610460849916,2.62247678672667,2.6486975475969,2.6747173697234,2.70042021246482,2.72566753366895
"29",2015-02-12,0.198627304260607,0.644776496489464,1.13195518080919,1.53998413164064,1.84632850075467,2.06399246779692,2.2148109645484,2.31918152963351,2.3930340511166,2.4477087805162,2.49079765630821,2.52713889384943,2.55967356881121,2.59009543898865,2.61931029285201,2.64774572595933,2.67555265436276,2.70273233421827,2.72921392653234,2.75490014420504
"30",2015-02-13,0.214293897617162,0.666025469101564,1.15313589559976,1.56001711821455,1.86630331104451,2.08571486636283,2.24003452388467,2.34926935225414,2.42886365396517,2.48969941353728,2.53898892343744,2.58128223298328,2.61931794517872,2.65465976351704,2.68814089480731,2.7201599339508,2.75087058241471,2.78029916356503,2.80841478520738,2.83516936092774
