loss,accuracy,time_this_iter_s,should_checkpoint,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag
1.2493496797105763e-05,0.017529578656156453,0.8865580558776855,True,False,,,15,c6bfe883995849179545511589580c2f,2020-12-22_00-15-52,1608624952,6.929419279098511,28944,DESKTOP-L6D69LH,192.168.1.102,6.929419279098511,0,15,e0366bc8,"1_activation_fn=<function relu at 0x000001BAC2C4A8B8>,lr=0.0039153,num_hidden=2,num_neurons=64"
1.2263363714737352e-05,0.035626768371228246,0.2740015983581543,True,False,,,16,c6bfe883995849179545511589580c2f,2020-12-22_00-15-53,1608624953,7.203420877456665,28944,DESKTOP-L6D69LH,192.168.1.102,7.203420877456665,0,16,e0366bc8,"1_activation_fn=<function relu at 0x000001BAC2C4A8B8>,lr=0.0039153,num_hidden=2,num_neurons=64"
1.2301082279009279e-05,0.032660578869568635,0.2940022945404053,True,False,,,17,c6bfe883995849179545511589580c2f,2020-12-22_00-15-53,1608624953,7.49742317199707,28944,DESKTOP-L6D69LH,192.168.1.102,7.49742317199707,0,17,e0366bc8,"1_activation_fn=<function relu at 0x000001BAC2C4A8B8>,lr=0.0039153,num_hidden=2,num_neurons=64"
1.3105724974593613e-05,-0.03061521848816695,1.079996109008789,True,False,,,18,c6bfe883995849179545511589580c2f,2020-12-22_00-15-54,1608624954,8.57741928100586,28944,DESKTOP-L6D69LH,192.168.1.102,8.57741928100586,0,18,e0366bc8,"1_activation_fn=<function relu at 0x000001BAC2C4A8B8>,lr=0.0039153,num_hidden=2,num_neurons=64"
1.2836938367399853e-05,-0.009478325572663815,0.24299216270446777,True,False,,,19,c6bfe883995849179545511589580c2f,2020-12-22_00-15-54,1608624954,8.820411443710327,28944,DESKTOP-L6D69LH,192.168.1.102,8.820411443710327,0,19,e0366bc8,"1_activation_fn=<function relu at 0x000001BAC2C4A8B8>,lr=0.0039153,num_hidden=2,num_neurons=64"
1.3844294699083548e-05,-0.08869532271391534,0.22300148010253906,True,False,,,20,c6bfe883995849179545511589580c2f,2020-12-22_00-15-54,1608624954,9.043412923812866,28944,DESKTOP-L6D69LH,192.168.1.102,9.043412923812866,0,20,e0366bc8,"1_activation_fn=<function relu at 0x000001BAC2C4A8B8>,lr=0.0039153,num_hidden=2,num_neurons=64"
1.2821227755921427e-05,-0.008242763397245945,0.7350032329559326,True,False,,,21,c6bfe883995849179545511589580c2f,2020-12-22_00-15-55,1608624955,9.778416156768799,28944,DESKTOP-L6D69LH,192.168.1.102,9.778416156768799,0,21,e0366bc8,"1_activation_fn=<function relu at 0x000001BAC2C4A8B8>,lr=0.0039153,num_hidden=2,num_neurons=64"
1.2198927834106144e-05,0.04069410839678833,0.7629995346069336,True,False,,,22,c6bfe883995849179545511589580c2f,2020-12-22_00-15-56,1608624956,10.541415691375732,28944,DESKTOP-L6D69LH,192.168.1.102,10.541415691375732,0,22,e0366bc8,"1_activation_fn=<function relu at 0x000001BAC2C4A8B8>,lr=0.0039153,num_hidden=2,num_neurons=64"
1.1784478374465834e-05,0.07328566172414996,0.28400182723999023,True,False,,,23,c6bfe883995849179545511589580c2f,2020-12-22_00-15-56,1608624956,10.825417518615723,28944,DESKTOP-L6D69LH,192.168.1.102,10.825417518615723,0,23,e0366bc8,"1_activation_fn=<function relu at 0x000001BAC2C4A8B8>,lr=0.0039153,num_hidden=2,num_neurons=64"
1.2435625649231952e-05,0.02208033797254705,0.21000170707702637,True,False,,,24,c6bfe883995849179545511589580c2f,2020-12-22_00-15-56,1608624956,11.035419225692749,28944,DESKTOP-L6D69LH,192.168.1.102,11.035419225692749,0,24,e0366bc8,"1_activation_fn=<function relu at 0x000001BAC2C4A8B8>,lr=0.0039153,num_hidden=2,num_neurons=64"
1.1603894563450012e-05,0.08748659517449864,0.3059985637664795,True,True,,,25,c6bfe883995849179545511589580c2f,2020-12-22_00-15-57,1608624957,11.341417789459229,28944,DESKTOP-L6D69LH,192.168.1.102,11.341417789459229,0,25,e0366bc8,"1_activation_fn=<function relu at 0x000001BAC2C4A8B8>,lr=0.0039153,num_hidden=2,num_neurons=64"
